Time,Room,Title of Presentation/Performance,Presenter Name,Department/Program,Abstract
Mar. 13th 11:30-2:00 p.m.,Ballroom B/C/D,Whole body fuel use: a preliminary study of carbohydrate and fat oxidation during water exercise ,Heather  Gerrish,"Nutrition, Exercise & Health Science","The purpose of this investigation was to measure energy expenditure and whole body carbohydrate and fat oxidation during shallow water exercise (SWE; submerged to axillary level).  The level of energy expenditure and the relative contribution of fuels (e.g. carbohydrate (CHO), fat) depends on the intensity of exercise effort. This descriptive study addressed several questions: (1) what is the energy expenditure of performing SWE over a range of intensities, and (2) how does the rate of CHO and fat usage change with increasingly more demanding SWE efforts. Five healthy females (age, 18?26 years) performed five submaximal and one maximal SWE bout based on perceived effort (Borg Scale). Indirect calorimetry (Parvo-Medic metabolic analyzer) was employed to assess metabolic response while heart rate (HR) was monitored via telemetry (Polar technology).  For perception of efforts ranging from very light (~50% HR peak) to very hard (~88% HR peak) the rate of energy expenditure ranged from 3.5+0.7 to 10.5+1.3 kilocalories per minute (Kcal.min-1), while the maximal SWE effort elicited a metabolic response of 13.2+1.7 Kcal.min-1 (~ 10 X resting metabolic rate). From very light to very hard, the rate of CHO oxidation increased from 2.0+1.0 to 9.4+1.8 Kcal.min-1 (~370% increase), while fat oxidation remained variable among the SWE efforts. In conclusion, carbohydrate oxidation plays an increasingly more important role as a fuel source during SWE efforts that require a high rate of energy expenditure.  Furthermore, this study provides insight into the energy requirements of SWE, a mode of exercise that is becoming more popular."
Mar. 13th 11:30-2:00 p.m.,Ballroom B/C/D,Healthy Hunger-Free Kids Act Effect on School Meals,Dana  Ogan ,"Nutrition, Exercise & Health Science","Nearly 31 million children eat National School Lunch Program (NSLP) meals each day. In order to improve the nutritional quality of the NSLP, standards for government subsidized school lunches changed in July 2012 under the Healthy Hunger-free Kids Act of 2010(HHFKA). In Spring of 2012, digital photographs of NSLP lunches were taken before and after meal consumption in four elementary schools, prior to enactment of HHFKA. In Spring of 2013, after enactment of the HHFKA, digital photographs of lunch were again taken in the same schools. The photos were used to make estimates of nutritional content of meals selected and consumed. Comparison between the pre-HHFKA meals and the post-HHFKA meals revealed significant differences between the 2012 and 2013 mean nutrient content selected and consumed for food energy, total fat, saturated fat, carbohydrates, protein, calcium, fiber, cholesterol, sodium, and vitamin C.  Saturated fat & sodium selection was significantly different: Saturated Fat: 6.1 grams (2012); 3.5 grams (2013); Sodium: 1148 mg (2012); 909 mg (2013), p<.05.  No significant differences between 2012 and 2013 mean nutrient content selected and consumed for iron, and vitamin A were found. In conclusion, the 2013 meals using new HHFKA guidelines offered a better meal and resulted in improved intake. "
Mar. 13th 11:30-2:00 p.m.,Ballroom B/C/D,"""The Effects of a Vegetarian Diet on Dietary Iron Intake in Adolescent Female Endurance Athletes""",Tucker Reiley,"Nutrition, Exercise & Health Science","A chief concern for female endurance athletes is adequate iron status which is partially determined by iron and vitamin C intake. This study examines the impact of diet on iron intake in adolescent female cross country runners. Animal-based iron sources are recognized as being better absorbed and more bioavailable than non-animal-based sources. Additionally, vitamin C promotes iron absorption. In this study the independent variable was defined as a vegetarian diet (one excluding meat, fish, and poultry), with the control being a non-vegetarian diet. The hypothesis was that vegetarian cross country runners would have lower mean iron intakes than non-vegetarians. Data were collected via a Food Frequency Questionnaire (FFQ) and a 3-Day Diet Log (3DL) provided to the subjects. Scores based on servings per week were assigned to the FFQ to create an estimate of each subject's daily iron and vitamin C intake. 3DLs were analyzed using ESHA Research Solutions Food Processor Diet Analysis software to form a representative picture of various nutrients over time, with the primary focus on iron and vitamin C. Permutation tests were used to analyze the dietary data. No significant differences in average iron intake or other key nutrients were found to exist between groups for 3DL data. A commonly attended running camp during the administration of this study may have been a factor. Analysis of the FFQ dietary data, indicating longer term intakes, revealed vegetarians had statistically significant higher intakes of vitamin C (p = 0.0389) and iron (p = 0.0135) than non-vegetarians."
Mar. 13th 11:30-2:00 p.m.,Ballroom B/C/D,Eating Behaviors Associated with Higher Risk of Chronic Disease in Youth at Guam Summer Activity Camps,Johanna Siler,"Nutrition, Exercise & Health Science","This research assessed the eating behavior of 6th - 12th grade participants in summer activity camps in Guam and aimed to correlate dietary patterns with chronic disease risk. Diets high in fat or sugar, and/or low in fruits, vegetables, are considered to be at a higher risk for obesity-related chronic diseases, such as Type 2 diabetes. Diabetes is the third leading cause of death in Guam compared to seventh for the U.S. overall. Additionally, the majority of youth in Guam report inadequate fruit and vegetable consumption. Due to the increased risk in this population, it is critical for research to identify behavioral strategies that may effectively reduce risk through low-risk dietary interventions. Participants included eight females and seven males, aged 9 to 13 years, and were recruited from Guam Youth Summer camps. The sample represented mainly Asian/Pacific Islander, Native Hawaiian, and White/Caucasian populations. Anthropometric and descriptive dietary data were obtained through food frequency questionnaires. Average BMI was 24.62 (weight ranged from 56 to 162 pounds). Data analysis revealed fruits and vegetables were consumed on average about 1-3 times a month. Reported fiber intake indicates low whole grain consumption. Additionally, fat consumption was 28% of total energy intake. Due to sample size, a correlation between chronic disease risk and dietary patterns was not identified. Additional research, including a larger sample size, to examine the associations and effects of specific dietary patterns of children living in Guam needs to be conducted. "
Mar. 13th 11:30-2:00 p.m.,Ballroom B/C/D,"Post-Glacial Fire and Vegetation History of Horsetail Lake in the  Teanaway Area of the Central Eastern Cascades, Washington",Serafina Ferri,Resource Management,"Landscapes of the Pacific Northwest have been shaped by dramatic shifts in climate since the last glacial maximum, and more recently, by human activity. However, it is unclear how past relationships between people, fire, and climate played out on the landscape. The purpose of this research is to reconstruct the post-glacial paleoenvironmental history of a wetland known as Horsetail Lake, located in the Teanaway area of the eastern Cascades. The goal is to evaluate how fire activity and vegetation patterns have varied under different climatic scenarios during the last ~13,000 years and in relation to human land-use actions. This lake was selected because it is one of only a few natural wetlands that exist in the Teanaway area below an elevation of 4000 feet, and because the archaeological record supports the idea that people utilized mountain environments in the eastern Cascades similar to that around the site. In 2011, a 9 meter-long sediment core was extracted from Horsetail Lake using a modified Livingstone corer. High-resolution macroscopic charcoal and pollen analysis is being used to reconstruct the fire and vegetation history of the Horsetail Lake watershed. The chronology of the sediment will be determined using radiocarbon (14C) dating and tephra layer identification. Preliminary results of this study show that fire frequency and severity has varied widely at Horsetail Lake during the post-glacial period. The early Holocene shows high fire activity with a drop in fire activity during the middle Holocene. Fire activity then becomes more frequent during the late Holocene. Completion of the pollen analysis will show how the forest around Horsetail Lake has changed both in terms of composition and structure in relation to the fire history. My results will hopefully be incorporated in future management plans of forest environments in the eastern Cascades as climate continues to change. "
Mar. 13th 11:30-2:00 p.m.,Ballroom B/C/D,You Want Me to Do WHAT? Transforming Faculty Practice to Improve Student Critical Thinking,Kristy Kappenman-Schiller,Biological Sciences,"This 3-year quasi-experimental study compared the effects of college teaching strategies on the critical thinking scores of students enrolled in undergraduate courses throughout CWU?s College of the Sciences. Faculty were recruited to first teach a baseline course using their usual lecture/laboratory approach, followed by a subsequent course implementing all or some of the Community-Based Inquiry (CBI) method, which includes student-led research and active learning strategies. A network of faculty collaboration and peer mentoring supported the participating instructors. Critical thinking levels were measured in all student participants pre- and post- treatment using the online California Critical Thinking Skills Test. Results showed significant critical-thinking gains in the classes that implemented all or some of the CBI active learning strategies, but no change, or decreases in the traditionally taught classes."
Mar. 13th 11:30-2:00 p.m.,Ballroom B/C/D,"Fire Regime Dynamics of Fish Lake, Blue Mountains, Oregon",Chris Goodner,Resource Management,"Fire has been a key process in shaping the forests of the Pacific Northwest (PNW) throughout the Holocene (the past ~12,000 years). However, in recent centuries, anthropogenic climate change and land-use actions (e.g., fire suppression) have severely disrupted pre-Euro-American settlement fire regimes, leading to the risk of catastrophic wildfires in many forests. Federal agencies are interested in using prescribed fire to restore historic forest mosaics and to reduce the risk of these conflagrations; however, there is a lack of fire history data from many areas in the PNW that spans more than a couple hundred years, including the Blue Mountains of Oregon. This study is reconstructing the fire history of the Fish Lake watershed in the Wallowa-Whitman National Forest of the Blue Mountains using macroscopic charcoal analysis of a lake sediment core. The purpose of this research is to determine how fire regimes have changed at the site during the past ~12,000 years with respect to past climate variability. Fish Lake is located at an elevation 2,030 m and exists among trees with low fire return intervals, primarily lodgepole pine (Pinus contorta) and subalpine fir (Abies lasiocarpa). Preliminary results indicate that infrequent high-severity fires have historically dominated the region. Our findings also suggest these fires have become more common in the last few hundred years. It is our hope that the information from this study can be used by forest managers to determine how fire activity may change in the future due to climate change."
Mar. 13th 11:30-2:00 p.m.,Ballroom B/C/D,"Holocene Fire Reconstruction of the Long Lake Watershed Near Rimrock Reservoir in the Eastern Cascades, Washington. ",Zoe Rushton,Resource Management,"Many of the forests in the Long Lake watershed (LLW) have been subjected to 20th century fire suppression and various other timber practices that have resulted in dense forest stands, leading to disease and pest outbreaks, and are at risk of large fire events. A more thorough understanding of past fire frequency in the LLW will aid land owners and forest managers in planning for future fire events. In the summer of 2014 a nine meter-long sediment core was extracted from Long Lake, which is located approximately 5 km southeast of Rimrock Reservoir and 45 km west of Yakima. Fire event frequency was determined using macroscopic charcoal analysis, which quantifies the changing abundance of charcoal particles >125 ?m taken at contiguous 1-cm intervals throughout the core. Past fire severity is indicated by the ratio of woody to herbaceous charcoal, which was visually determined for each charcoal particle. Preliminary charcoal results show frequent fire episodes for approximately the last 9,000 years, with a noticeable decrease in fire occurrence in recent centuries. "
Mar. 13th 11:30-2:00 p.m.,Ballroom B/C/D,"GIS Cost Surface Analysis for Forager Travel: Archaeological Settlement Models, Frank Church River of No Return Wilderness, Idaho",Anthony Saunders,Resource Management,"This analysis predicts the caloric cost to travel across the Frank Church River of No Return Wilderness.   A cost surface analysis will be conducted using ARCmap GIS software to determine how many calories prehistoric hunter-gatherers expended traveling across the terrain over a given route.  The data derived from this study will be incorporated into an archaeological predictive model that predicts archaeological site locations based on the caloric costs of accessing an area and the caloric benefits of utilizing that area.  Since the model predicts the patterns of Native Americans, it will assume that travel is conducted on foot."
Mar. 13th 11:30-2:00 p.m.,Ballroom B/C/D,Mapping a Resource War: Spatial Analysis of Conflict and Minerals in the Congo Rift Valley ,Anthony Braun,Geography,"The international community has placed more awareness of conflict minerals since the Sierra Leone Civil War.  Despite the large amount of market and consumer attention placed specifically on diamonds since the war, there are other minerals mined in Africa that have become increasing categorized as conflict minerals. In the East Africa Rift Valley, between the Democratic Republic of the Congo, Uganda, Rwanda, and Burundi, a mineral rich region has been the location of many conflicts over the past 25 years. The question of whether minerals extracted in this region are being used by conflict actors to fund their rebellions has not been answered, yet little attention has been paid despite the possibility that minerals found in everyday life, including tin, copper, and could playing host to over 2 decades of bloodshed. This research will utilize ArcGIS and Statistix to analyze reports of attacks on civilian populations between 2010 and 2014 by conflict actors.  Incidents of violence against civilians will be further analyzed to spatially correlate attacks with mining locations to determine whether minerals being extracted from mines in the region can be classified as conflict minerals. "
Mar. 13th 11:30-2:00 p.m.,Ballroom B/C/D,Eastern Washington Wildfires: Tracking Land Recovery in the Colockum Tarps Wildfire Area,Michael Balda,Geography,"Eastern Washington State has seen an increase in wildfire activity because of policies of fire suppression and changing climate. The Colockum Tarps wildfire started on July 27th, 2013 in Malaga, WA due to a water pump malfunction. After ignition, the fire quickly moved south-southwest and burned a total area of 80,408 acres of grasslands and forest. We combined fieldwork and geospatial analysis of aerial photography and satellite imagery to examine vegetative recovery within the fire area. Using ArcGIS and PCI Geomatica, we analyzed 2013 National Agricultural Imaging Program (NAIP) images and a wildfire perimeter shapefile from the Bureau of Land Management. We used Landsat 8 data from 2013, 2014 and 2015 provided by United States Geological Survey ? Earth Explorer. We also used aerial photos from 2013, and burn perimeter maps provided by the DNR to obtain pre- and post- fire vegetation conditions. We used DNR Inciweb reports to see daily weather conditions and to monitor fire growth. LANDSAT 8 imagery were processed for a change detection analysis and a Normalized Burn Ratio (NBR) analysis.  We also conducted fieldwork at the site of the fire. Lastly, we analyzed the datasets to evaluate overall change and burn severity to identify recovery. Using air photo techniques, we found that climatic factors have the biggest impact on wildfire growth. Using remote sensing analysis, we found that there was a significant amount of regrowth of vegetation between the months of August and October 2013 in the grassland areas, but slow regrowth in forested areas."
Mar. 13th 11:30-2:00 p.m.,Ballroom B/C/D,"Factoring Climate Change Into Recreation Investment Decisions: Evidence From Hatchers Pass, Alaska",Logan Blair,Geography,"Winter sports infrastructure brings general welfare to communities as well as potential economic growth. However, it is known that average snow cover in northern hemispheres has reduced by 10% since the mid 1960?s (Folland 2001). Employing Landsat data and remote sensing techniques such as the normalized difference snow index (NDSI), this research examines snow cover change in Hatchers Pass, Alaska over a 28 year period. Results reveal that snow cover has dropped as much as 47% between 1986 and 2014 suggesting that, in addition to traditional cost benefit analysis, site specific environmental change studies should be considered when evaluating winter recreation investment."
Mar. 13th 11:30-2:00 p.m.,Ballroom B/C/D,"Holocene Fire History of Green Lake, Eastern Cascades, Washington, Determined Using Macroscopic Charcoal Analysis",Dusty  Pilkington,Geography,"Wildfires are common in the dry ponderosa pine forests of the eastern Cascades, and play a vital role in maintaining ecosystem health. However, fire activity in the region has generally been suppressed during the past approximately 100 years. As a result, forests in this region have recently begun to experience larger, more damaging fire events. One such event, the Carlton Complex Fire, burned during the summer of 2014. As the largest wildfire ever recorded in Washington state history, it burned more than 130,000 hectares, consumed 300 homes, and caused considerable infrastructure damage before it was contained.  In order to put recent fire activity in the eastern Cascades into perspective, long-term fire histories that span the past ~15,000 years are needed. Here we present results from a study at Green Lake, Washington, which sits approximately 42 km from the Carlton Complex Fire. The lake was cored during summer 2012 and a 4.43 m long sediment core was recovered, providing an approximately 7600 year-long record. High-resolution macroscopic charcoal analysis was used to reconstruct the fire history of the site, along with loss-on-ignition and magnetic susceptibility analyses. Ratios of herbaceous to woody charcoal were used to determine fuel types and fire severity. Preliminary results indicate that low-severity ground fires were frequent throughout the record, but increased substantially after ca. 1400 AD and remained high until ca. 1850 AD. Future research will involve reconstructing the fire history of a lake within the Carlton Complex burn zone to compare with the Green Lake record."
Mar. 13th 11:30-2:00 p.m.,Ballroom B/C/D,"Coastal Wetlands Surrounding New Orleans, Louisiana",Andrew Meinhold,Political Science,"This project consists of a remote sensing evaluation of the wetlands located in the immediate vicinity of New Orleans, Louisiana by use of satellite imagery. This was accomplished by means of an unsupervised k-mean classification method to define wetland landcover area within the study area. In addition, normalized difference of vegetation (NDVI) and normalized difference of water indices (NDWI) were developed from differing spectral bands of light to further evaluate the nature of the wetland coverage, their outputs of been included for analyses and discussion. Complete documentation of data acquisition and methods applied has been recorded and expressed in the final product of this study, a poster presented at this symposium. In addition, an analysis of the outputs generated by this research has been provided, as well as a conclusion drawn from this analysis, which is in turn informed by literature review from a variety of academic sources. These outside research works are mainly based upon study of the benefits wetlands can provide to surrounding ecosystems, both natural and human-made."
Mar. 13th 11:30-2:00 p.m.,Ballroom B/C/D,Wet-sites Artifacts: Preservation and Exhibition,Andrew Johnson,Anthropology & Museum Studies,"Over the last sixty years archaeology has seen a rise in the discovery, excavation, and preservation of artifacts from ?wet? sites, which differ greatly in composition to that of artifacts recovered from more common ?dry? sites. Wet sites are unique as they are anaerobic. Oxygen is removed from the site through natural occurrences, this prevents bacteria and other agents of decay from taking hold on artifacts which would otherwise decay and vanish from the historical record. The result is a site rich in organic artifacts consisting of materials which are not found in other sites. Artifacts taken from wet sites pose difficulties and challenges that require a different tool set and conservation procedures in order to address the vulnerabilities of organic matter, which is as susceptible to decay. Artifacts taken from sites such as Hoko River and the Ozette Indian Village site, both in Washington State, as well as sites across the globe have shown the need for new techniques in how to deal with the various aspects with these artifacts. Because these artifacts have not been exposed to oxygen for such long periods of time, it is vital that while excavating, handling, preserving, etc. that the artifacts continue to be in an environment deprived of oxygen, otherwise decay will of these items will begin in earnest. In this poster I will explore the techniques and practices in achieving the needs of artifacts in a wet site."
Mar. 13th 11:30-2:00 p.m.,Ballroom B/C/D,Macro Analysis: In The Field Vs In The Lab Use Wear,Erin Chenvert,Anthropology & Museum Studies,"Recent efforts on the YTC established research questions that stone tool data can address.  For instance, are springs the location of diverse past human activities or do they represent a more limited activity location? The Bishop Hollow site (45KT1975) is located on the Yakima Training Center (YTC). Initial lithic analyses were performed on the material excavated at the site in the field and laboratory without the aid of magnification. An additional sample from this site was analyzed using magnification. The two samples are compared and the similarities and differences were used to assess the effects on the data that could be used to test hypotheses about past land use at springs. Results show that in the initial analysis there was 2% of objects identified with wear while in the subsequent analysis there was 5% identified with use wear. We have taken these results and explored the implications of such analytical biases imposed by doing lithic analysis with and without magnification. These results are relevant to those CRM (Cultural Resource Management) and research settings where analysts are considering whether they should use magnification in stone tool analysis.

"
Mar. 13th 11:30-2:00 p.m.,Ballroom B/C/D,Comparison of Radiometric Dating Techniques: Pacific Northwest,James Brown,Anthropology & Museum Studies,"Radiometric dating is problematic in non-midden sites of the Pacific Northwest. Charcoal is ubiquitous in the forest soils and unburned bone readily dissolves. This fact impedes development of a regional chronologies and understanding of the process of resource intensification that was so important to development of Northwest cultures. To alleviate this deficiency, DirectAMS and Central Washington University undertook research to demonstrate the validity of alternatives to traditional radiocarbon dating of charcoal and bone, by using radiocarbon dating of calcined bone and luminescence dating. Calcined bone (bone burned in excess of 600¯C) survives well in archaeological sites with acidic soils that are common to archaeological contexts along the Northwest Coast and has been found in the Old World to provide accurate radiocarbon dating. Luminescence dating can be applied to fire-cracked rock, which is common, particularly in food processing features. We developed a protocol for comparing calcined bone and luminescence dates with charcoal dates, taking all from the same features contexts. The comparison of the radiocarbon dating of charcoal and calcined bone to the luminescence dating of fire-cracked rock identifies the differences in the events that each medium dates and their association with the cultural activity associated with the cooking features. Results were compared for seven sites, demonstrating the validity of this approach to solving the region?s dating dilemma."
Mar. 13th 11:30-2:00 p.m.,Ballroom B/C/D,Comparative Morphological Analysis of Calcined Bone,David Davis,Anthropology & Museum Studies,"Along the Pacific Northwest Coast of North America, faunal remains are rarely preserved within archaeological contexts, outside of coastal sites with shell middens. This is primarily due to the degradation of bone by humic acids in the soils (pH 4.5-5.5) and carbonic acids caused by heavy precipitation. Preserved bones in archaeological contexts in this region are typically highly burned, or calcined.  Calcined bone is known to entail a size reduction compared to unburned bone, but the nature of the reduction is unknown. The question this project seeks to answer is: Does calcining cause significant change in bone size and weight? Consequently, this experiment documents the amount of change observed in artiodactyl phalanges (elk and black-tailed deer) by calcining, either via heating in a semi-temperature-controlled, outdoor wood fire, and/or by heating in a completely temperature-controlled, indoor muffle furnace. Twelve separate variables were measured before and after burning on the first phalanx and second phalanx specimens. Eight distinct variables were recorded on the third phalanx specimens. In addition to 38.13% mean weight loss expected due to the loss of the organic component of the bone, several variables exhibit noteworthy change. The ?height in region of extensor process? variable displays a mean reduction of 7.52%, and the ?breadth proximal? variable showed 4.39% mean reduction. Bones burned in the muffle furnace had uniform color and burning stage and no fracture, while those burned in the outside fire had variable results for all of these attributes, including extensive fracturing."
Mar. 13th 11:30-2:00 p.m.,Ballroom B/C/D,Comparative Analysis of Tool Cut Marks on Cattle Bone,Caitlin Limberg,Anthropology & Museum Studies,"The tools used in both consumption and butchering of animal foods leave signatures that can be used to distinguish material type. Experiments were conducted to establish the characteristics of cut marks on cattle bone left by a serrated steel knife, a straight-edged steel knife, an obsidian bifacial tool, a chert bifacial tool, an unmodified obsidian flake, and an unmodified chert flake. Comparative analysis of the slicing-marks showed the shape of slice marks created with the steel knives and obsidian flake were generally similar in width, depth and shape. Tool morphology played the largest role in dictating the shape of scrape marks, and tool edges defined by a pattern of bifacial flake scars or serration left clear signatures. Straight-edged tools left subtler characteristic scrape marks in the form of patches and striations suggesting the direction of the tool stroke. Tool marks left by steel knives, straight-edged and serrated, were the most prominent, uniform, and consistent. The shape of marks left by the bifacial tools were incredibly similar, meaning differentiation between material types is difficult and thus identification would likely only be able to be made to the level of bifacial stone tool."
Mar. 13th 11:30-2:00 p.m.,Ballroom B/C/D,Statistical Testing for Patterns in the Distribution of Middle Columbia Housepit Archaeological Sites,Matt Johnson,Geography,"Cultural resource management salvage archaeology of the past 50 years has resulted in high resolution geographic data concerning the location of housepit archaeological sites. For this study, statistical tests (Quadrat and Spearman Rank Correlation) were completed for the location of 116 housepit archaeological sites in relation to three rapids and three dams along a section of the Middle Columbia River, stretching approximately 60 miles from the Rock Island Dam at the north end to the beginning of the Hanford Reach at the south end. Housepit locations were tested against the location of rapids to test for correlation between favorable fishing locations and housepit locations. Housepit locations were also tested against the location of dams to test for correlation between a potential bias in the location of discovered archaeological sites, and housepit location. These tests found that housepit sites are significantly clustered, that their locations are correlated to the locations of rapids along this section of the Columbia River, and that their locations are not correlated to the locations of dam construction. These results are consistent with both previous data and the ethnographic record, supporting the location of housepit village sites near favorable fishing locations."
Mar. 13th 11:30-2:00 p.m.,Ballroom B/C/D,Effects of Fine-Fraction Pre-treatment for Laser Diffraction Particle Size Analysis,Matt Johnson,Anthropology & Museum Studies,"Pretreatment of sediment samples for particle-size analysis can be costly and time consuming. Here we present results of how various levels of pretreatment affect laser diffraction results. For this study, we subjected 35 sub-samples from seven different stratigraphic layers of the Sanders archaeological site (45KT315) in central Washington State to different combinations of pretreatment (removal of organic and inorganic carbon using 30% H2O2 and 1N HCl, respectively, and ultrasonic dispersion). Fully treated samples were presumed to be most accurate, and so were used as the test control. As expected, completely untreated samples exhibited excess coarse-sized particles (most negatively skewed). Other results demonstrate inter- and intra-sample variations that are likely due to differences in physical and chemical properties of each sample. No clear patterns emerge that lead us to conclude anything other than full pretreatment is required for best results.?"
Mar. 13th 11:30-2:00 p.m.,Ballroom B/C/D,Metatarsal variation in morphology of the hallux in non-human primates.,Daniel Jager,Anthropology & Museum Studies,"Terrestrial and arboreal environments present different locomotive challenges for non-human primates. This study focuses on interpreting how those challenges impact the degree of proximal facet concavity of the hallux in New World and Old World monkeys. The study uses measurements of halluces from 34 monkeys (Alouatta, Cebus, Lagothrix, Cercopithecus, Macaca, Miopithecus, and Papio) stored at the University of Oregon, and two (Macaca and Saimiri) at Central Washington University, using both traditional caliper methods and a MicroScribe three-dimensional digitizer. MicroScribe data includes nine landmarks, five on the proximal articular surface and four on the distal. Caliper measurements follow Marchi (2010). Monkey species comprise four locomotor groups from least to most arboreal. Regressions of MicroScribe data come from principal component scores via EVAN?s Toolbox (Phillips et al. 2010). Locomotion alone is significant, however size is a confounding variable. There is a significant correlation for locomotion and monkey size class combined (F(9, 28) =27.64, p<0.001, R2 =92.90, R2 Adjusted = 89.54). Size is the primary explanation for this variation, when looked at separately (F(7, 29)=26.40 p<0.001, R2=89.36, R2 Adjusted = 85.98). While the results show a difference between monkeys with extremely curved proximal articular surfaces and those with a flatter surface, it is difficult to correlate it to locomotion alone. The relationship between the relative flatness of the surface and allometry needs to be further explored."
Mar. 13th 11:30-2:00 p.m.,Ballroom B/C/D,Obsidian Hydration Dating of Obsidian Lithic Fragments from the Grissom Site (45KT301),Daniel Burris,Anthropology & Museum Studies,"Obsidian Hydration Analysis (OHA) measures the hydration layer on obsidian artifacts. The thicker the hydration layer, the longer since the tool was made. OHA can be used to test hypotheses about changes through time in past trade and exchange systems at the Grissom site (45KT301) in Kittitas County. A sample of the sourced obsidian (n=35) from the Grissom site was analyzed and sent off for OHA measurements. The results show that the range of hydration rim thickness are consistent with human occupation over the last 3,000 years. There was no visible correlation between the artifact type and the hydration rim thickness. Of the seven sources of obsidian artifacts that were analyzed, two sources have hydration rim thicknesses only greater than 2 microns. There were four sources with hydration rim thicknesses only less than 2 microns.  A single source had hydration rim thicknesses both greater and less than 2 microns. If we assume that hydration rim thickness is at least in part a function of time, obsidian source diversity increased through time.  These results may show that only one source was being used consistently through time at the Grissom site, while two sources were abandoned, and four new sources were utilized instead. The geographical distances from the Grissom site to the sources also increases over time, showing expansion of resource utilization, a result in contrast to conclusions made in other studies on changing obsidian source diversity. "
Mar. 13th 11:30-2:00 p.m.,Ballroom B/C/D,"Bioarchaeology, Barbados, Eastern Caribbean: Isotopic Analyses of Teeth and Bone from Human Remains ",Tiffany Hansen,Anthropology & Museum Studies,"Bioarchaeological studies have grown in sophistication and are now helping test assumptions about island garden agriculture (palm, cassava, and/or maize) and the relative contributions of marine proteins. Bone and teeth samples from five sites on Barbados and one on Barbuda were processed by the Center for Applied Isotopic Studies, University of Georgia, and data are reported for Î13Cco, Î13Cca, Î15Nco, and Î18Oap. Stable isotope ratios, adjusted ratios, and apatite-collagen spacing correspond with results from elsewhere in the Lesser Antilles. After adjustment, all of the Î15N bone and teeth samples are within the food web range for marine protein resources. Adjusted values for samples from Heywoods, Chancery Lane, Goddard, and Light & Power sites are indicative of a marine diet. Protein models of marine/C4 plants and C3 plants indicate a mixture of plant and marine protein. "
Mar. 13th 11:30-2:00 p.m.,Ballroom B/C/D,"Analysis of Fatty Acids in Precontact Ceramics from Barbados, West Indies",Jillian Hendrix,Anthropology & Museum Studies,"Analyses of organic residues on ceramics complement other types of archaeological evidence used to characterize diets of populations colonizing and adapting to Caribbean Islands. Gas Chromatography - Mass Spectrometry (GC-MS) is used to identify compounds sampled from 20 sherds excavated from two households (the Goddard Site 200 B.C. - A.D. 300 and Chancery Lane Site A.D. 800-1500). Measurable peaks of fatty acid residues are present on six samples from the Goddard Site. Smaller traces of fatty acids are present on Chancery Lane sherds. A comparison is made of fatty acids by type of sherd (rim/body, size, decoration), and visible types of residue (black and/or white substances). The specific composition of fatty acids present may help identify garden produce (maize, cassava and/or palm lipids) and animal resources such as fish and turtle. Results contribute to the growing field of molecular archaeology and environmental archaeology in the Caribbean."
Mar. 13th 11:30-2:00 p.m.,Ballroom B/C/D,Humanitarian Aid for the Occupied Palestinian Territories: A Policy,Madelyne Weber,Douglas Honors College,"The international community is well acquainted with the ongoing problems among Israel and the occupied Palestinian territories. As the years march onward, conditions in Palestine continue to degrade. Palestinians face many problems with respect to humanitarian and developmental aid. Conditions are harsh, both because of the extreme weather and continued conflict with the Israeli military and diplomatic policies. Lack of communication and travel abilities between Gaza and the West Bank, and even between neighboring villages in each region, continue to lead to wider disparity between the two geographic regions creating dramatically different levels of need depending upon location. The policy proposed by this project includes a scale developed to provide flexibility in assessing the needs of communities on a case by case basis. This project focuses on the current issues faced in the Gaza Strip and the West Bank in regards to education, food, and water security, as well as a proposed plan of action that involves the assistance of the UN and partner NGOs that are already active in the region. The scale developed herein is targeted specifically at these issues in this region, however it can easily be broadened to address needs in other categories of aid as well as in other states in need of aid as the global political and geological climate alters over time. The overarching goal of the scale is to provide a ground for assessment that can lead each region through the stages of humanitarian aid, to developmental aid, and onward to stability."
Mar. 13th 11:30-2:00 p.m.,Ballroom B/C/D,Human Rights and the Role of Peacekeeping in the Occupied Palestinian Territories,Matthew Baldwin,Douglas Honors College,"This presentation represents a draft policy paper addressing the well known documented patterns of human rights abuses occurring in Israel and the Occupied Palestinian Territories. The draft policy paper seeks a solution to the entrenched conflict through the effective use of peacekeeping forces in the region, under the authority of the Responsibility to Protect principle. Peacekeeping and its role in furthering humanitarian causes and foster an environment of sustainable peace in the Occupied Palestinian Territories are examined. "
Mar. 13th 11:30-2:00 p.m.,Ballroom B/C/D,Hydropolicy in Ethiopia,Matthew Baldwin,Political Science,"The Ethiopian Growth and Transformation Plan was a five-year plan put forward by the Ethiopian Government to modernize, stabilize, and drastically improve the quality of life for everyone in Ethiopia. The plan was centrally focused on encouraging foreign investment opportunities, and undertake many large scale development projects. To accomplish this plan, Addis Ababa attempted to pursue grand power generating abilities and become a hydropower juggernaut in the region, and securing energy resources with membership in the East African Power Pool. This presentation evaluates how Ethiopia?s developmental and intergovernmental efforts have helped in achieving the desired growth and transformation.

"
